            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2461135.262873901, A.D. 2026-Apr-04 18:18:32.3050, -2.831673924531233E+05, -2.828399657440808E+05, -3.326439086047023E+04,  6.751822464334246E-01, -7.107756635495980E-01, -3.678541406060448E-02,
2461135.269818345, A.D. 2026-Apr-04 18:28:32.3050, -2.827619708741580E+05, -2.832661137067421E+05, -3.328642456761445E+04,  6.762227440083588E-01, -7.097172996535165E-01, -3.666026516694709E-02,
2461135.276762790, A.D. 2026-Apr-04 18:38:32.3050, -2.823559254878105E+05, -2.836916262091136E+05, -3.330838316519390E+04,  6.772616040976278E-01, -7.086574629998298E-01, -3.653504888975556E-02,
2461135.283707234, A.D. 2026-Apr-04 18:48:32.3050, -2.819492572770690E+05, -2.841165023682892E+05, -3.333026661285956E+04,  6.782988250460428E-01, -7.075961560830966E-01, -3.640976549975172E-02,
2461135.290651678, A.D. 2026-Apr-04 18:58:32.3050, -2.815419672259137E+05, -2.845407413028597E+05, -3.335207487042513E+04,  6.793344052022108E-01, -7.065333813986239E-01, -3.628441526758819E-02,
2461135.297596123, A.D. 2026-Apr-04 19:08:32.3050, -2.811340563193144E+05, -2.849643421329132E+05, -3.337380789786637E+04,  6.803683429185297E-01, -7.054691414424616E-01, -3.615899846384774E-02,
2461135.304540567, A.D. 2026-Apr-04 19:18:32.3050, -2.807255255432283E+05, -2.853873039800357E+05, -3.339546565532153E+04,  6.814006365511844E-01, -7.044034387113954E-01, -3.603351535904348E-02,
2461135.311485012, A.D. 2026-Apr-04 19:28:32.3050, -2.803163758845978E+05, -2.858096259673114E+05, -3.341704810309112E+04,  6.824312844601417E-01, -7.033362757029419E-01, -3.590796622361764E-02,
2461135.318429456, A.D. 2026-Apr-04 19:38:32.3050, -2.799066083313481E+05, -2.862313072193234E+05, -3.343855520163784E+04,  6.834602850091455E-01, -7.022676549153408E-01, -3.578235132794211E-02,
2461135.325373901, A.D. 2026-Apr-04 19:48:32.3050, -2.794962238723853E+05, -2.866523468621538E+05, -3.345998691158665E+04,  6.844876365657127E-01, -7.011975788475513E-01, -3.565667094231723E-02,
2461135.332318345, A.D. 2026-Apr-04 19:58:32.3050, -2.790852234975935E+05, -2.870727440233844E+05, -3.348134319372468E+04,  6.855133375011285E-01, -7.001260499992441E-01, -3.553092533697258E-02,
2461135.339262790, A.D. 2026-Apr-04 20:08:32.3050, -2.786736081978332E+05, -2.874924978320969E+05, -3.350262400900111E+04,  6.865373861904416E-01, -6.990530708707969E-01, -3.540511478206521E-02,
2461135.346207234, A.D. 2026-Apr-04 20:18:32.3050, -2.782613789649385E+05, -2.879116074188735E+05, -3.352382931852725E+04,  6.875597810124596E-01, -6.979786439632875E-01, -3.527923954768034E-02,
2461135.353151678, A.D. 2026-Apr-04 20:28:32.3050, -2.778485367917152E+05, -2.883300719157973E+05, -3.354495908357642E+04,  6.885805203497444E-01, -6.969027717784879E-01, -3.515329990383062E-02,
2461135.360096123, A.D. 2026-Apr-04 20:38:32.3050, -2.774350826719385E+05, -2.887478904564527E+05, -3.356601326558391E+04,  6.895996025886080E-01, -6.958254568188594E-01, -3.502729612045591E-02,
2461135.367040567, A.D. 2026-Apr-04 20:48:32.3050, -2.770210176003505E+05, -2.891650621759256E+05, -3.358699182614704E+04,  6.906170261191068E-01, -6.947467015875460E-01, -3.490122846742255E-02,
2461135.373985012, A.D. 2026-Apr-04 20:58:32.3050, -2.766063425726584E+05, -2.895815862108042E+05, -3.360789472702488E+04,  6.916327893350379E-01, -6.936665085883684E-01, -3.477509721452393E-02,
2461135.380929456, A.D. 2026-Apr-04 21:08:32.3050, -2.761910585855320E+05, -2.899974616991790E+05, -3.362872193013845E+04,  6.926468906339339E-01, -6.925848803258188E-01, -3.464890263147888E-02,
2461135.387873901, A.D. 2026-Apr-04 21:18:32.3050, -2.757751666366010E+05, -2.904126877806435E+05, -3.364947339757057E+04,  6.936593284170587E-01, -6.915018193050548E-01, -3.452264498793239E-02,
2461135.394818345, A.D. 2026-Apr-04 21:28:32.3050, -2.753586677244536E+05, -2.908272635962946E+05, -3.367014909156579E+04,  6.946701010894020E-01, -6.904173280318935E-01, -3.439632455345476E-02,
2461135.401762790, A.D. 2026-Apr-04 21:38:32.3050, -2.749415628486341E+05, -2.912411882887326E+05, -3.369074897453042E+04,  6.956792070596750E-01, -6.893314090128064E-01, -3.426994159754146E-02,
2461135.408707234, A.D. 2026-Apr-04 21:48:32.3050, -2.745238530096400E+05, -2.916544610020621E+05, -3.371127300903243E+04,  6.966866447403067E-01, -6.882440647549126E-01, -3.414349638961259E-02,
2461135.415651678, A.D. 2026-Apr-04 21:58:32.3050, -2.741055392089204E+05, -2.920670808818923E+05, -3.373172115780141E+04,  6.976924125474370E-01, -6.871552977659742E-01, -3.401698919901297E-02,
2461135.422596123, A.D. 2026-Apr-04 22:08:32.3050, -2.736866224488738E+05, -2.924790470753368E+05, -3.375209338372856E+04,  6.986965089009141E-01, -6.860651105543905E-01, -3.389042029501108E-02,
2461135.429540567, A.D. 2026-Apr-04 22:18:32.3050, -2.732671037328454E+05, -2.928903587310148E+05, -3.377238964986661E+04,  6.996989322242881E-01, -6.849735056291912E-01, -3.376378994679965E-02,
2461135.436485012, A.D. 2026-Apr-04 22:28:32.3050, -2.728469840651252E+05, -2.933010149990510E+05, -3.379260991942971E+04,  7.006996809448074E-01, -6.838804855000324E-01, -3.363709842349474E-02,
2461135.443429456, A.D. 2026-Apr-04 22:38:32.3050, -2.724262644509460E+05, -2.937110150310762E+05, -3.381275415579355E+04,  7.016987534934135E-01, -6.827860526771899E-01, -3.351034599413527E-02,
2461135.450373901, A.D. 2026-Apr-04 22:48:32.3050, -2.720049458964807E+05, -2.941203579802271E+05, -3.383282232249525E+04,  7.026961483047358E-01, -6.816902096715546E-01, -3.338353292768351E-02,
2461135.457318345, A.D. 2026-Apr-04 22:58:32.3050, -2.715830294088402E+05, -2.945290430011477E+05, -3.385281438323313E+04,  7.036918638170878E-01, -6.805929589946254E-01, -3.325665949302375E-02,
2461135.464262790, A.D. 2026-Apr-04 23:08:32.3050, -2.711605159960716E+05, -2.949370692499888E+05, -3.387273030186698E+04,  7.046858984724613E-01, -6.794943031585058E-01, -3.312972595896266E-02,
2461135.471207234, A.D. 2026-Apr-04 23:18:32.3050, -2.707374066671555E+05, -2.953444358844087E+05, -3.389257004241776E+04,  7.056782507165222E-01, -6.783942446758963E-01, -3.300273259422903E-02,
2461135.478151678, A.D. 2026-Apr-04 23:28:32.3050, -2.703137024320042E+05, -2.957511420635732E+05, -3.391233356906765E+04,  7.066689189986055E-01, -6.772927860600900E-01, -3.287567966747318E-02,
2461135.485096123, A.D. 2026-Apr-04 23:38:32.3050, -2.698894043014590E+05, -2.961571869481569E+05, -3.393202084616007E+04,  7.076579017717106E-01, -6.761899298249680E-01, -3.274856744726620E-02,
2461135.492040567, A.D. 2026-Apr-04 23:48:32.3050, -2.694645132872886E+05, -2.965625697003423E+05, -3.395163183819939E+04,  7.086451974924959E-01, -6.750856784849918E-01, -3.262139620210086E-02,
2461135.498985012, A.D. 2026-Apr-04 23:58:32.3050, -2.690390304021864E+05, -2.969672894838208E+05, -3.397116650985129E+04,  7.096308046212748E-01, -6.739800345552001E-01, -3.249416620039025E-02,
2461135.505929456, A.D. 2026-Apr-05 00:08:32.3050, -2.686129566597686E+05, -2.973713454637937E+05, -3.399062482594221E+04,  7.106147216220108E-01, -6.728730005512018E-01, -3.236687771046787E-02,
2461135.512873901, A.D. 2026-Apr-05 00:18:32.3050, -2.681862930745722E+05, -2.977747368069707E+05, -3.401000675145983E+04,  7.115969469623113E-01, -6.717645789891720E-01, -3.223953100058735E-02,
